Id;Designator;Footprint;Quantity;Designation;Supplier;Mouser #;Mfr #;Price per item;Price;;;
1;R9,R6,R11,R10,R7;R_0805_2012Metric;5;22;Mouser;71-CRCW080522R0FKEAC;CRCW080522R0FKEAC; 0,031  $ ; 0,155  $ ;;;
2;R1,R3,R14,R15,R2,R4;R_0805_2012Metric;6;10k;Mouser;603-RT0805FRE1010KL;RT0805FRE1010KL; 0,040  $ ; 0,240  $ ;;;
3;J2;UJ20CHGMSMT4P16TR;1;UJ20-C-H-G-MSMT-4-P16-TR;Mouser;179-UJ20CHGMSMT4P16T;UJ20-C-H-G-MSMT-4-P16-TR; 0,730  $ ; 0,730  $ ;;;
4;C8,C11,C5,C2,C1;C_0805_2012Metric;5;1uF;Mouser;187-CL21B105KPFNNNE;CL21B105KPFNNNE; 0,034  $ ; 0,170  $ ;;;
5;C6;C_0805_2012Metric;1;10nF;Mouser;603-CC805KRX7R9BB103;CC0805KRX7R9BB103; 0,067  $ ; 0,067  $ ;;;
6;C9;C_0805_2012Metric;1;10uF;Mouser;187-CL21A106KOQNNNG;CL21A106KOQNNNG; 0,018  $ ; 0,018  $ ;;;
7;IC3;USBLC62P6;1;USBLC6-2P6;Mouser;511-USBLC6-2P6;USBLC6-2P6; 0,454  $ ; 0,454  $ ;;;
8;C13,C14,C10,C12;C_0805_2012Metric;4;0.1uF;Mouser;187-CL21B104KCFSFNE;CL21B104KCFSFNE; 0,035  $ ; 0,140  $ ;;;
9;L1;LQG15WH0N7B02D;1;2nH;Mouser;81-LQG15HS2N0B02D;LQG15HS2N0B02D; 0,079  $ ; 0,079  $ ;;;
10;R13,R12;R_0805_2012Metric;2;5.1k;Mouser;603-RC0805JR-075K1L;RC0805JR-075K1L; 0,011  $ ; 0,022  $ ;;;
11;S1,S2;TS04-66-43-BK-260-SMT;2;TS04-66-73-BK-260-SMT;Mouser;179-TS046643BK260SMT;TS04-66-43-BK-260-SMT; 0,189  $ ; 0,378  $ ;;;
12;IC2;QFN50P500X500X90-33N-D;1;ESP32-C3FH4X;Mouser;356-ESP32-C3FH4X;ESP32-C3FH4X; 1,980  $ ; 1,980  $ ;;;
13;D1;SOT95P240X110-3N;1;BAT54A_R1_00001;Mouser;241-BAT54A_R1_00001;BAT54A_R1_00001; 0,092  $ ; 0,092  $ ;;;
14;R8;R_0805_2012Metric;1;62;Mouser;603-RC0805FR-0762RL;RC0805FR-0762RL; 0,017  $ ; 0,017  $ ;;;
15;C7;C_0805_2012Metric;1;2.2uF;Mouser;187-CL21A225KAFNNNE;CL21A225KAFNNNE; 0,090  $ ; 0,090  $ ;;;
16;IC1;SOT230P700X180-4N;1;TLV76133DCYR;Mouser;595-TLV76133DCYR;TLV76133DCYR; 0,432  $ ; 0,432  $ ;;;
17;D2;LEDC1608X90N;1;LED;Mouser;859-LTST-C191GKT;LTST-C191GKT; 0,175  $ ; 0,175  $ ;;;
18;Y1;XRCGB40M000F1S2AR0;1;XRCGB40M000F1S2AR0;Mouser;81-XRCGB40M000F1S2AR;XRCGB40M000F1S2AR0; 0,514  $ ; 0,514  $ ;;;
19;R5;R_0805_2012Metric;1;1.5k;Mouser;603-RC0805FR-131K5L;RC0805FR-131K5L; 0,014  $ ; 0,014  $ ;;;
20;Q1,Q2;1540601NEA200;2;1540601NEA200;Mouser;710-1540601NEA200;1540601NEA200; 0,456  $ ; 0,912  $ ;;;
21;C3,C4;C_0805_2012Metric;2;24pF;Mouser;80-C0805C240J5HACTU;C0805C240J5HACTU; 0,072  $ ; 0,144  $ ;;;
;;;;;;;;;;;Total for parts;Total with PCB
1;R1,R2;R_0805_2012Metric;2;105;Mouser;667-ERA-6AEB1050V;ERA-6AEB1050V; 0,088  $ ; 0,176  $ ;; 7,427  $ ; 15,977  $ 
2;D1,D2;LED_0603_1608Metric;2;IR LED;Mouser;743-IN-S63FTHIR;IN-S63FTHIR; 0,214  $ ; 0,428  $ ;;;
